,UT,indirect_count,direct_count,target
310,DIIDW:2014D54546,1,3.0,2.0
311,DIIDW:201500054E,2,1.0,1.5
312,DIIDW:2005442258,0,1.0,0.5
313,DIIDW:201500935F,1,1.0,1.0
314,DIIDW:2014E82327,1,2.0,1.5
315,DIIDW:2011J97107,1,4.0,2.5
316,DIIDW:2014D14960,7,6.0,6.5
317,DIIDW:2013U10263,0,2.0,1.0
318,DIIDW:2014U59207,0,2.0,1.0
319,DIIDW:1999157549,6,1.0,3.5
320,DIIDW:2013R43093,2,1.0,1.5
321,DIIDW:2012H63398,1,2.0,1.5
322,DIIDW:2013B81408,2,2.0,2.0
323,DIIDW:2014T18514,3,3.0,3.0
324,DIIDW:2011B76177,0,3.0,1.5
325,DIIDW:2003828866,0,1.0,0.5
326,DIIDW:2013C62032,1,3.0,2.0
327,DIIDW:2013E67708,0,1.0,0.5
328,DIIDW:2014E00988,13,13.0,13.0
329,DIIDW:2014W18860,1,1.0,1.0
330,DIIDW:2012H96599,3,2.0,2.5
331,DIIDW:2013W83115,3,4.0,3.5
332,DIIDW:2013P01244,5,3.0,4.0
333,DIIDW:2011G83873,1,1.0,1.0
334,DIIDW:2008H90442,1,1.0,1.0
335,DIIDW:2013N00861,1,2.0,1.5
336,DIIDW:1997132059,1,1.0,1.0
337,DIIDW:2012F59611,3,2.0,2.5
338,DIIDW:2009K93537,0,1.0,0.5
339,DIIDW:2014W69744,2,2.0,2.0
340,DIIDW:2012C02279,0,1.0,0.5
341,DIIDW:2014R61598,6,4.0,5.0
342,DIIDW:2011G87449,1,1.0,1.0
343,DIIDW:2008F49855,5,3.0,4.0
344,DIIDW:2007813610,0,1.0,0.5
345,DIIDW:2014Q82090,0,1.0,0.5
346,DIIDW:2012J13918,5,3.0,4.0
347,DIIDW:2012F59970,0,2.0,1.0
348,DIIDW:2013W53091,0,1.0,0.5
349,DIIDW:2012N92424,0,1.0,0.5
350,DIIDW:2013U05272,12,2.0,7.0
351,DIIDW:2013U40088,10,2.0,6.0
352,DIIDW:2014N44902,30,14.0,22.0
353,DIIDW:201506850N,9,1.0,5.0
354,DIIDW:2014N01992,19,12.0,15.5
355,DIIDW:2001294825,0,2.0,1.0
356,DIIDW:1999291749,0,1.0,0.5
357,DIIDW:2013H52727,0,1.0,0.5
358,DIIDW:201510175F,1,1.0,1.0
359,DIIDW:2013E41399,0,2.0,1.0
360,DIIDW:2012B84214,7,4.0,5.5
361,DIIDW:2014S60094,3,2.0,2.5
362,DIIDW:2013P72157,3,2.0,2.5
363,DIIDW:2011G35589,3,2.0,2.5
364,DIIDW:2013V46009,3,1.0,2.0
365,DIIDW:2014C80963,8,2.0,5.0
366,DIIDW:2014H28195,8,5.0,6.5
367,DIIDW:201523740X,0,1.0,0.5
368,DIIDW:2013P48554,1,1.0,1.0
369,DIIDW:2009E15299,1,1.0,1.0
370,DIIDW:2013S75352,0,1.0,0.5
371,DIIDW:2015128916,4,2.0,3.0
372,DIIDW:2014M25828,2,3.0,2.5
373,DIIDW:2014Q63222,4,6.0,5.0
374,DIIDW:2014L43555,2,2.0,2.0
375,DIIDW:2015237034,3,1.0,2.0
376,DIIDW:2014T83987,3,2.0,2.5
377,DIIDW:2014V05454,6,5.0,5.5
378,DIIDW:2012L03788,0,5.0,2.5
379,DIIDW:2014W72956,10,9.0,9.5
380,DIIDW:2014S50462,7,3.0,5.0
381,DIIDW:2014Q29588,3,8.0,5.5
382,DIIDW:2014A44111,1,4.0,2.5
383,DIIDW:2013B63137,0,1.0,0.5
384,DIIDW:2013D62478,2,5.0,3.5
385,DIIDW:2014L91403,2,2.0,2.0
386,DIIDW:2015311350,2,1.0,1.5
387,DIIDW:2015277249,0,1.0,0.5
388,DIIDW:2014C94171,0,1.0,0.5
389,DIIDW:2012Q16311,2,3.0,2.5
390,DIIDW:2010G79317,0,1.0,0.5
391,DIIDW:2012F59609,0,1.0,0.5
392,DIIDW:2012K65493,1,1.0,1.0
393,DIIDW:2014A21917,0,1.0,0.5
394,DIIDW:2010N14393,0,1.0,0.5
395,DIIDW:2013P72255,0,1.0,0.5
396,DIIDW:2012J71003,1,2.0,1.5
397,DIIDW:2015327830,1,1.0,1.0
398,DIIDW:2013H27580,0,1.0,0.5
399,DIIDW:2009G45981,1,1.0,1.0
400,DIIDW:2008E56969,0,1.0,0.5
401,DIIDW:2013V26833,0,1.0,0.5
402,DIIDW:2014C03055,1,4.0,2.5
403,DIIDW:2006030689,0,2.0,1.0
404,DIIDW:2010F60322,0,3.0,1.5
405,DIIDW:2002507152,0,2.0,1.0
406,DIIDW:2015349271,0,1.0,0.5
407,DIIDW:2015200353,8,4.0,6.0
408,DIIDW:2014F72453,2,4.0,3.0
409,DIIDW:2014M63284,4,8.0,6.0
410,DIIDW:2012M88846,3,3.0,3.0
411,DIIDW:2013H72611,5,5.0,5.0
412,DIIDW:201575686Y,1,1.0,1.0
413,DIIDW:2014Q66816,1,2.0,1.5
414,DIIDW:2014U18779,3,3.0,3.0
415,DIIDW:2014U16479,1,1.0,1.0
416,DIIDW:2014M64427,6,4.0,5.0
417,DIIDW:2013K73611,4,4.0,4.0
418,DIIDW:2014F10323,0,2.0,1.0
419,DIIDW:2014B40320,11,5.0,8.0
420,DIIDW:201555803L,9,3.0,6.0
421,DIIDW:2014P25844,7,2.0,4.5
422,DIIDW:201555696C,2,1.0,1.5
423,DIIDW:2015511144,6,4.0,5.0
424,DIIDW:2014W70105,0,1.0,0.5
425,DIIDW:2014F60486,1,4.0,2.5
426,DIIDW:2013W58239,0,1.0,0.5
427,DIIDW:2013V60265,0,2.0,1.0
428,DIIDW:2014M62853,0,2.0,1.0
429,DIIDW:2014W16096,0,1.0,0.5
430,DIIDW:2005222952,0,2.0,1.0
431,DIIDW:2014M74060,1,2.0,1.5
432,DIIDW:2011H90802,1,4.0,2.5
433,DIIDW:2011H90803,0,1.0,0.5
434,DIIDW:2009A82113,1,1.0,1.0
435,DIIDW:2014M74061,1,1.0,1.0
436,DIIDW:2014M74080,1,2.0,1.5
437,DIIDW:2013T01594,1,3.0,2.0
438,DIIDW:2013S99953,0,2.0,1.0
439,DIIDW:2014M74078,0,2.0,1.0
440,DIIDW:2014M74076,0,1.0,0.5
441,DIIDW:201555803M,0,1.0,0.5
442,DIIDW:2014H09048,0,3.0,1.5
443,DIIDW:2013V81056,1,2.0,1.5
444,DIIDW:2013F48652,0,1.0,0.5
445,DIIDW:201550338W,0,1.0,0.5
446,DIIDW:2010M22923,0,1.0,0.5
447,DIIDW:2013F07295,1,1.0,1.0
448,DIIDW:2013P83182,0,3.0,1.5
449,DIIDW:2014V33259,0,5.0,2.5
450,DIIDW:201532087U,0,1.0,0.5
451,DIIDW:201567039Y,1,1.0,1.0
452,DIIDW:2015088020,6,7.0,6.5
453,DIIDW:201554288X,7,4.0,5.5
454,DIIDW:2012E44647,1,2.0,1.5
455,DIIDW:2010K09071,0,1.0,0.5
456,DIIDW:2015637183,1,1.0,1.0
457,DIIDW:2014C01105,2,2.0,2.0
458,DIIDW:2014S38329,1,4.0,2.5
459,DIIDW:201504591J,1,4.0,2.5
460,DIIDW:2014A53976,1,2.0,1.5
461,DIIDW:2014N40071,1,1.0,1.0
462,DIIDW:2014D14428,4,3.0,3.5
463,DIIDW:201531897E,0,1.0,0.5
464,DIIDW:201541566H,6,7.0,6.5
465,DIIDW:2015648085,1,1.0,1.0
466,DIIDW:2008M03418,3,1.0,2.0
467,DIIDW:2014U04609,0,1.0,0.5
468,DIIDW:2014S37562,0,2.0,1.0
469,DIIDW:201561258T,1,1.0,1.0
470,DIIDW:2012D58768,1,1.0,1.0
471,DIIDW:2011J91617,1,1.0,1.0
472,DIIDW:201501047H,1,1.0,1.0
473,DIIDW:2015619154,1,1.0,1.0
474,DIIDW:2013P47682,2,2.0,2.0
475,DIIDW:2015736439,0,1.0,0.5
476,DIIDW:2015091328,1,3.0,2.0
477,DIIDW:2009L06083,0,1.0,0.5
478,DIIDW:201518709C,2,4.0,3.0
479,DIIDW:2004362020,2,2.0,2.0
480,DIIDW:2011B25567,1,2.0,1.5
481,DIIDW:2015724644,1,1.0,1.0
482,DIIDW:201576064A,0,1.0,0.5
483,DIIDW:2013M69140,0,3.0,1.5
484,DIIDW:201567437U,1,1.0,1.0
485,DIIDW:201525321E,1,3.0,2.0
486,DIIDW:2009M16515,0,1.0,0.5
487,DIIDW:201508956E,3,2.0,2.5
488,DIIDW:2015436241,1,2.0,1.5
489,DIIDW:2015742923,0,1.0,0.5
490,DIIDW:201523890H,0,2.0,1.0
491,DIIDW:2006663907,3,2.0,2.5
492,DIIDW:201543338B,1,6.0,3.5
493,DIIDW:201600655U,0,1.0,0.5
494,DIIDW:2016125966,0,2.0,1.0
495,DIIDW:2016065347,0,2.0,1.0
496,DIIDW:201531165M,0,2.0,1.0
497,DIIDW:2015098215,1,8.0,4.5
498,DIIDW:2012N85538,0,4.0,2.0
499,DIIDW:2013J44225,2,6.0,4.0
500,DIIDW:2000582031,0,2.0,1.0
501,DIIDW:2014R25019,0,3.0,1.5
502,DIIDW:201583507L,2,1.0,1.5
503,DIIDW:2006336542,0,1.0,0.5
504,DIIDW:2013L24296,0,3.0,1.5
505,DIIDW:2009Q70516,0,1.0,0.5
506,DIIDW:2015138309,0,1.0,0.5
507,DIIDW:201623727F,1,2.0,1.5
508,DIIDW:2011M99270,1,1.0,1.0
509,DIIDW:2016161675,0,1.0,0.5
510,DIIDW:2011K33142,0,1.0,0.5
511,DIIDW:2013U48482,0,1.0,0.5
512,DIIDW:201531511X,0,1.0,0.5
513,DIIDW:201505490R,0,3.0,1.5
514,DIIDW:201505433B,0,1.0,0.5
515,DIIDW:201511827C,1,3.0,2.0
516,DIIDW:201565580U,1,2.0,1.5
517,DIIDW:2013D83658,1,1.0,1.0
518,DIIDW:201558126L,1,1.0,1.0
519,DIIDW:201631083X,0,1.0,0.5
520,DIIDW:2016310840,0,1.0,0.5
521,DIIDW:2013D85051,0,2.0,1.0
522,DIIDW:2014T19425,0,2.0,1.0
523,DIIDW:2014T79642,0,3.0,1.5
524,DIIDW:2015505149,0,1.0,0.5
525,DIIDW:2015607790,3,6.0,4.5
526,DIIDW:2014U31297,0,1.0,0.5
527,DIIDW:2016322900,0,1.0,0.5
528,DIIDW:201551833M,0,1.0,0.5
529,DIIDW:2014N72512,0,1.0,0.5
530,DIIDW:2014H09044,0,3.0,1.5
531,DIIDW:201547329T,0,2.0,1.0
532,DIIDW:201529956K,0,1.0,0.5
533,DIIDW:201654993E,0,1.0,0.5
534,DIIDW:201602937V,2,2.0,2.0
535,DIIDW:2012Q64997,3,1.0,2.0
536,DIIDW:201641759H,0,1.0,0.5
537,DIIDW:2014L93102,4,1.0,2.5
538,DIIDW:2014J90047,4,1.0,2.5
539,DIIDW:201558126P,0,2.0,1.0
540,DIIDW:2008J66820,0,1.0,0.5
541,DIIDW:201545730D,0,1.0,0.5
542,DIIDW:201513805B,1,1.0,1.0
543,DIIDW:2011N56132,0,2.0,1.0
544,DIIDW:201529970X,1,1.0,1.0
545,DIIDW:2013P72262,0,2.0,1.0
546,DIIDW:2013Q17198,0,2.0,1.0
547,DIIDW:2013F97804,0,1.0,0.5
548,DIIDW:2014H01844,1,2.0,1.5
549,DIIDW:2015187182,0,4.0,2.0
550,DIIDW:2016052991,0,2.0,1.0
551,DIIDW:2008L70279,0,1.0,0.5
552,DIIDW:2014F30199,2,4.0,3.0
553,DIIDW:2014V86368,0,1.0,0.5
554,DIIDW:201583507N,0,2.0,1.0
555,DIIDW:2013P65097,0,1.0,0.5
556,DIIDW:2014V85611,0,10.0,5.0
557,DIIDW:2013Q95498,1,2.0,1.5
558,DIIDW:2014V85608,1,1.0,1.0
559,DIIDW:201602832D,2,2.0,2.0
560,DIIDW:201651521T,0,1.0,0.5
561,DIIDW:2009Q10274,0,2.0,1.0
562,DIIDW:2011B69790,0,2.0,1.0
563,DIIDW:2015794367,0,2.0,1.0
564,DIIDW:201569816S,3,4.0,3.5
565,DIIDW:2014G77404,0,1.0,0.5
566,DIIDW:2013V45992,0,2.0,1.0
567,DIIDW:2014U52622,0,1.0,0.5
568,DIIDW:2012Q92189,0,1.0,0.5
569,DIIDW:201658290N,0,1.0,0.5
570,DIIDW:2015397736,0,1.0,0.5
571,DIIDW:2013S25065,1,1.0,1.0
572,DIIDW:201618105T,1,4.0,2.5
573,DIIDW:201535722H,0,2.0,1.0
574,DIIDW:2013U35963,0,2.0,1.0
575,DIIDW:201580326C,2,3.0,2.5
576,DIIDW:2014C03051,0,1.0,0.5
577,DIIDW:2014V07792,0,1.0,0.5
578,DIIDW:2012H74983,0,1.0,0.5
579,DIIDW:201531897B,0,2.0,1.0
580,DIIDW:2015630198,1,2.0,1.5
